TIME_PERIOD,AUD,CAD,CHF,DKK,GBP,ISK,JPY,NZD,SEK,USD,XDR
1990-12-19,1.5014517305073392,1.6155988945475732,6.128723359265022,4.621928969803046,2.4205458906276105,2.362739015813793,1.4676439068162137,1.235093492983726,4.644967655862158,1.7595805708638197,2.119281053722203
1990-12-20,1.5085341174932154,1.616234761434373,6.125383364673769,4.621830626881199,2.420190335068309,2.3664984187376983,1.4690257587173554,1.2396777289467125,4.645351975620923,1.7647307968401356,2.1205990798990073
1990-12-21,1.5227464842553908,1.6338768343111185,6.12426754952075,4.621633912018757,2.4232085353177846,2.3683728335320486,1.4784176499956965,1.2566980729488166,4.648612743830928,1.7808670280616312,2.128272181220605
1990-12-24,1.5361788106571828,1.644071196328451,6.126869184114185,4.623697490601975,2.42462571890307,2.3711778844596574,1.4872702784598928,1.2623171813001797,4.652530757347929,1.791759469228055,2.130386525414273
1990-12-25,1.5361788106571828,1.644071196328451,6.126869184114185,4.623697490601975,2.42462571890307,2.3711778844596574,1.4872702784598928,1.2623171813001797,4.652530757347929,1.791759469228055,2.130386525414273
1990-12-26,1.5361788106571828,1.644071196328451,6.126869184114185,4.623697490601975,2.42462571890307,2.3711778844596574,1.4872702784598928,1.2623171813001797,4.652530757347929,1.791759469228055,2.130386525414273
1990-12-27,1.5258388885577867,1.6406458395582935,6.130095415277204,4.62271536520384,2.425156645382226,2.3711778844596574,1.480922490198673,1.2581484407717058,4.649761069315966,1.7904252462149184,2.129718694970846
1990-12-28,1.524184988459334,1.635729246388169,6.131052561315036,4.622125626637505,2.425333558253099,2.367436065313662,1.4784176499956965,1.245076359204353,4.650047944766177,1.7842312028072635,2.1301726780861934
1990-12-31,1.5161596668524953,1.628004482007939,6.132833892570507,4.623501142672815,2.4278952839594923,2.367436065313662,1.4690257587173554,1.2415286708523703,4.654436427291009,1.7762227300789257,2.1287506188096943
1991-01-01,1.5161596668524953,1.628004482007939,6.132833892570507,4.623501142672815,2.4278952839594923,2.367436065313662,1.4690257587173554,1.2415286708523703,4.654436427291009,1.7762227300789257,2.1287506188096943
1991-01-02,1.510589480391497,1.6193288355820716,6.139259356832337,4.62271536520384,2.4293058457732024,2.3617969526258915,1.4692558818342378,1.2468311241278367,4.648516990491458,1.766783483157878,2.1215582976346297
1991-01-03,1.5147755227684307,1.6218801853239877,6.13599769784028,4.623010104116422,2.4312421252023073,2.365559892155434,1.478645622184077,1.2443563027208158,4.647846460268528,1.7657576666890542,2.1233974204510537
1991-01-04,1.5166864563025493,1.6253309464360128,6.137251779173963,4.623304756183574,2.432647977292214,2.367436065313662,1.4779615496457146,1.245421802238475,4.648421227982406,1.766441661243765,2.123689261696273
1991-01-07,1.5343047996185846,1.6426018588125324,6.135608180188042,4.622223940553919,2.4329991317159787,2.372111155642656,1.474305238442604,1.2661021757914848,4.651290121601645,1.7872493137501688,2.129263316413209
1991-01-08,1.543554487318474,1.652708107663876,6.143670479997313,4.621338767149675,2.438688175986386,2.372111155642656,1.4829672483801513,1.270069485900787,4.654626794700683,1.7939237920574316,2.135574916457813
1991-01-09,1.5385647027903078,1.6543347933163828,6.14233843554211,4.6210435351443815,2.4376403239869107,2.3693087250369538,1.4847813078345447,1.2567265317618017,4.655387902148709,1.7947549782078533,2.1404978350185937
1991-01-10,1.5299400563020014,1.6446119874417544,6.14427146735174,4.62173227428707,2.434665433351254,2.372111155642656,1.4831941858598499,1.2631375374939076,4.65224459337402,1.7867469274045107,2.1321857829346955
1991-01-11,1.5304163498810424,1.6457698416814905,6.14154265956481,4.621830626881199,2.4350158801745354,2.372111155642656,1.4924545569482814,1.2728456686123115,4.653960350157523,1.7879187698421173,2.132911216033455
1991-01-14,1.5462211840101878,1.6566840280309654,6.15256246745031,4.619960271460727,2.4380770624312023,2.372111155642656,1.4973884086254774,1.27472013584741,4.6568134191399295,1.797907199814289,2.1384849139799402
1991-01-15,1.5450487134807502,1.6584566219136347,6.14996290492866,4.619368905387905,2.440345032698531,2.3739750890807185,1.4908795763099651,1.2762283475063354,4.656243456172092,1.795419430059542,2.1373483559538586
1991-01-16,1.5468388426775779,1.658818378531538,6.1490450526384315,4.618678536012884,2.441651141117043,2.3739750890807185,1.4852343089747944,1.2795996224489277,4.654150808209713,1.7965811595072685,2.137038053985081
1991-01-17,1.5345419375800937,1.6404907436893488,6.141198343996193,4.620255823406132,2.4364164406275663,2.3702437414678603,1.4883995840570443,1.258375758705228,4.65224459337402,1.7817091333745536,2.1313447125549083
1991-01-18,1.5316060922799446,1.6349691976305085,6.14154265956481,4.620551288026394,2.4355413202426712,2.373043556642607,1.4890765557629164,1.2575230498820293,4.652912181973512,1.7801085264871934,2.1311951675985674
1991-01-21,1.5218954853714288,1.6240900437664147,6.144936425172872,4.62114195549779,2.4355413202426712,2.3646204839134985,1.487496241628858,1.2496438233014993,4.650812543866793,1.7696842615761974,2.126224931719554
