Date,Close
04.02.1999 kl. 18.00.00,"288,05"
05.02.1999 kl. 18.00.00,"287,14"
08.02.1999 kl. 18.00.00,"285,05"
09.02.1999 kl. 18.00.00,"279,32"
10.02.1999 kl. 18.00.00,"277,38"
11.02.1999 kl. 18.00.00,"281,11"
12.02.1999 kl. 18.00.00,"283,75"
15.02.1999 kl. 18.00.00,"285,57"
16.02.1999 kl. 18.00.00,"286,72"
17.02.1999 kl. 18.00.00,"283,77"
18.02.1999 kl. 18.00.00,"284,42"
19.02.1999 kl. 18.00.00,"285,99"
22.02.1999 kl. 18.00.00,"289,59"
23.02.1999 kl. 18.00.00,"292,76"
24.02.1999 kl. 18.00.00,"295,81"
25.02.1999 kl. 18.00.00,"291,09"
26.02.1999 kl. 18.00.00,"289,96"
01.03.1999 kl. 18.00.00,"286,47"
02.03.1999 kl. 18.00.00,"287,11"
03.03.1999 kl. 18.00.00,"285,19"
04.03.1999 kl. 18.00.00,"288,09"
05.03.1999 kl. 18.00.00,"293,86"
08.03.1999 kl. 18.00.00,"292,23"
09.03.1999 kl. 18.00.00,"293,45"
10.03.1999 kl. 18.00.00,"292,95"
11.03.1999 kl. 18.00.00,"297,82"
12.03.1999 kl. 18.00.00,"297,99"
15.03.1999 kl. 18.00.00,"296,58"
16.03.1999 kl. 18.00.00,"297,17"
17.03.1999 kl. 18.00.00,"295,03"
18.03.1999 kl. 18.00.00,"293,99"
19.03.1999 kl. 18.00.00,"297,85"
22.03.1999 kl. 18.00.00,"296,02"
23.03.1999 kl. 18.00.00,"291,93"
24.03.1999 kl. 18.00.00,"287,95"
25.03.1999 kl. 18.00.00,"292,42"
26.03.1999 kl. 18.00.00,"292,11"
29.03.1999 kl. 18.00.00,"296,2"
30.03.1999 kl. 18.00.00,"295,27"
31.03.1999 kl. 18.00.00,"297,15"
01.04.1999 kl. 18.00.00,297
06.04.1999 kl. 18.00.00,"300,7"
07.04.1999 kl. 18.00.00,"302,87"
08.04.1999 kl. 18.00.00,"303,58"
09.04.1999 kl. 18.00.00,"305,23"
12.04.1999 kl. 18.00.00,"304,3"
13.04.1999 kl. 18.00.00,"307,41"
14.04.1999 kl. 18.00.00,"306,57"
15.04.1999 kl. 18.00.00,"304,62"
16.04.1999 kl. 18.00.00,304
19.04.1999 kl. 18.00.00,"308,24"
20.04.1999 kl. 18.00.00,"301,28"
21.04.1999 kl. 18.00.00,"302,5"
22.04.1999 kl. 18.00.00,"305,61"
23.04.1999 kl. 18.00.00,"305,56"
26.04.1999 kl. 18.00.00,"307,63"
27.04.1999 kl. 18.00.00,"312,46"
28.04.1999 kl. 18.00.00,"312,33"
29.04.1999 kl. 18.00.00,"310,32"
30.04.1999 kl. 18.00.00,"312,35"
03.05.1999 kl. 18.00.00,"313,74"
04.05.1999 kl. 18.00.00,"313,63"
05.05.1999 kl. 18.00.00,"308,12"
06.05.1999 kl. 18.00.00,"307,57"
07.05.1999 kl. 18.00.00,"306,2"
10.05.1999 kl. 18.00.00,"305,69"
11.05.1999 kl. 18.00.00,"306,95"
12.05.1999 kl. 18.00.00,"305,75"
13.05.1999 kl. 18.00.00,"308,34"
14.05.1999 kl. 18.00.00,"303,24"
17.05.1999 kl. 18.00.00,"297,8"
18.05.1999 kl. 18.00.00,"299,99"
19.05.1999 kl. 18.00.00,"303,1"
20.05.1999 kl. 18.00.00,"306,68"
21.05.1999 kl. 18.00.00,"307,04"
25.05.1999 kl. 18.00.00,"301,58"
